"""table_name"",""column_name"""
"item,""custitem_ar_tipo"""
"item,""custitem_ar_und_cial_dian"""
"item,""custitem_bit_ar_articulo_de_trim"""
"item,""custitem_bit_ar_categoria_articulos"""
"item,""custitem_bit_ar_clase_articulo"""
"item,""custitem_bit_ar_factorconversion"""
"item,""custitem_bit_ar_grupo_articulos"""
"item,""custitem_bit_ar_tipo_articulos"""
"item,""custitem_bit_lt_ei_pe_selling_code"""
"item,""custitem_bit_no_validar_lotes"""
"item,""custitem_bit_pe_codpropexistencia"""
"item,""custitem_bit_pe_t14"""
"item,""custitem_bit_pe_t5"""
"item,""custitem_cmms_create_equipt_on_invadj"""
"item,""custitem_iqity_use_fifo"""
"item,""custitem_wmsse_mix_item"""
"item,""custitem_wmsse_mix_lot"""
"item,""custitem_wmsse_shelflife"""
"item,""isspecialworkorderitem"""
"item,""planningitemcategory"""
"item,""rotationtype"""
"item,""roundupascomponent"""
"item,""scrapacct"""
"item,""stockunit"""
"item,""supplyreplenishmentmethod"""
"item,""totalquantityonhand"""
"item,""totalvalue"""
"item,""tracklandedcost"""
"item,""usebins"""
"item,""weight"""
"item,""weightunit"""
"item,""wipacct"""
"item,""wipvarianceacct"""
"item,""custitem_cmms_labor_pricing_model"""
"item,""custitem_cmms_part_cost_acc"""
"item,""custitem_cmms_service_order_type"""
"item,""custitem_cmms_service_time_type"""
"item,""custitem_cmms_service_type"""
"item,""custitem_cmms_required_usage_unit"""
"item,""custitem_ks_refund_stk_account"""
"item,""custitem_ar_cod_insumo_pv"""
"item,""custitem_ar_critico"""
"item,""custitem_ar_rdl"""
"item,""custitem_bit_average_cost"""
"item,""custitem_bit_rop"""
"item,""custitem_cmms_auto_gen_po"""
"item,""custitem_cmms_create_return_author"""
"item,""custitem_cmms_item_type"""
"item,""custitem_hs_certification_required"""
"item,""vendorname"""
"item,""custreturnvarianceaccount"""
"item,""custitem_ar_codigo_proveedor"""
"item,""lastinventorycostingcorrectiondate"""
"item,""mpn"""
"item,""countryofmanufacture"""
"item,""custitem_bit_item_gto_importacion"""
"item,""externalid"""
"item,""manufacturer"""
"item,""custitem_ar_porcentaje_solidos"""
"item,""custitem_wmsse_replen_maxqty"""
"item,""custitem_wmsse_replen_minqty"""
"item,""preferredlocation"""
"item,""purchaseorderquantitydiff"""
"item,""receiptquantitydiff"""
"item,""custitem_ar_responsable_articulo_ensam"""
"item,""custitem_ar_predeterminado_proveedor"""
"item,""custitem_ar_dimension_hojas"""
"item,""custitem_cmms_equipment_category"""
"item,""custitem_cmms_equipment_type"""
"item,""itemprocessfamily"""
"opprtnty,""links"""
"opprtnty,""createddate"""
"opprtnty,""currency"""
"opprtnty,""entity"""
"opprtnty,""id"""
"opprtnty,""lastmodifieddate"""
"opprtnty,""memo"""
"opprtnty,""status"""
"opprtnty,""trandate"""
"opprtnty,""tranid"""
"opprtnty,""abbrevtype"""
"opprtnty,""autocalculatelag"""
"opprtnty,""billingaddress"""
"opprtnty,""billingstatus"""
"opprtnty,""createdby"""
"opprtnty,""daysopen"""
"opprtnty,""employee"""
"opprtnty,""entitystatus"""
"opprtnty,""exchangerate"""
"opprtnty,""expectedclosedate"""
"opprtnty,""forecasttype"""
"opprtnty,""foreigntotal"""
"opprtnty,""isbookspecific"""
"opprtnty,""isbudgetapproved"""
"opprtnty,""isfinchrg"""
"opprtnty,""isreversal"""
"opprtnty,""iswip"""
"opprtnty,""lastmodifiedby"""
"opprtnty,""nexus"""
"opprtnty,""number"""
"opprtnty,""ordpicked"""
"opprtnty,""outsourced"""
"opprtnty,""paymenthold"""
"opprtnty,""posting"""
"opprtnty,""postingperiod"""
"opprtnty,""printedpickingticket"""
"opprtnty,""probability"""
"opprtnty,""projectedtotal"""
"opprtnty,""rangehigh"""
"opprtnty,""rangelow"""
"opprtnty,""shipcomplete"""
"opprtnty,""shippingaddress"""
"opprtnty,""title"""
"opprtnty,""trandisplayname"""
"opprtnty,""transactionnumber"""
"opprtnty,""type"""
"opprtnty,""typebaseddocumentnumber"""
"opprtnty,""userevenuearrangement"""
"opprtnty,""visibletocustomer"""
"opprtnty,""void"""
"opprtnty,""voided"""
"opprtnty,""weightedtotal"""
"purchord,""links"""
"purchord,""createddate"""
"purchord,""currency"""
"purchord,""entity"""
"purchord,""id"""
"purchord,""lastmodifieddate"""
"purchord,""memo"""
"purchord,""status"""
"purchord,""trandate"""
"purchord,""tranid"""
"purchord,""abbrevtype"""
"purchord,""actualshipdate"""
"purchord,""autocalculatelag"""
"purchord,""billingaddress"""
"purchord,""billingstatus"""
"purchord,""closedate"""
"purchord,""createdby"""
"purchord,""daysopen"""
"purchord,""email"""
"purchord,""employee"""
"purchord,""estgrossprofit"""
"purchord,""estgrossprofitpercent"""
"purchord,""exchangerate"""
"purchord,""foreigntotal"""
"purchord,""incoterm"""
"purchord,""isbookspecific"""
"purchord,""isfinchrg"""
"purchord,""isreversal"""
"purchord,""iswip"""
"purchord,""lastmodifiedby"""
"purchord,""nexus"""
"purchord,""number"""
"purchord,""ordpicked"""
"purchord,""outsourced"""
"purchord,""paymenthold"""
"purchord,""posting"""
"purchord,""postingperiod"""
"purchord,""printedpickingticket"""
"purchord,""recordtype"""
"purchord,""shipdate"""
"purchord,""shippingaddress"""
"purchord,""terms"""
"purchord,""trandisplayname"""
"purchord,""transactionnumber"""
"purchord,""type"""
"purchord,""typebaseddocumentnumber"""
"purchord,""userevenuearrangement"""
"purchord,""visibletocustomer"""
"purchord,""void"""
"purchord,""voided"""
"purchord,""daysoverduesearch"""
"purchord,""duedate"""
"salesord,""links"""
"salesord,""createddate"""
"salesord,""currency"""
"salesord,""entity"""
"salesord,""id"""
"salesord,""lastmodifieddate"""
"salesord,""status"""
"salesord,""trandate"""
"salesord,""tranid"""
"salesord,""memo"""
"salesord,""source"""
"salesord,""abbrevtype"""
"salesord,""actualshipdate"""
"salesord,""autocalculatelag"""
"salesord,""billingaddress"""
"salesord,""billingstatus"""
"salesord,""closedate"""
"salesord,""createdby"""
"salesord,""daysopen"""
"salesord,""email"""
"salesord,""employee"""
"salesord,""estgrossprofit"""
"salesord,""estgrossprofitpercent"""
"salesord,""exchangerate"""
"salesord,""foreigntotal"""
"salesord,""isbookspecific"""
"salesord,""isfinchrg"""
"salesord,""isreversal"""
"salesord,""iswip"""
"salesord,""lastmodifiedby"""
"salesord,""nexus"""
"salesord,""number"""
"salesord,""ordpicked"""
"salesord,""otherrefnum"""
"salesord,""outsourced"""
"salesord,""paymenthold"""
"salesord,""posting"""
"salesord,""postingperiod"""
"salesord,""printedpickingticket"""
"salesord,""recordtype"""
"salesord,""shipcomplete"""
"salesord,""shipdate"""
"salesord,""shippingaddress"""
"salesord,""terms"""
"salesord,""totalcostestimate"""
"salesord,""trandisplayname"""
"salesord,""transactionnumber"""
"salesord,""type"""
"salesord,""typebaseddocumentnumber"""
"salesord,""userevenuearrangement"""
"salesord,""visibletocustomer"""
"salesord,""void"""
"salesord,""voided"""
"salesord,""linkedtrackingnumberlist"""
"salesord,""nextbilldate"""
"salesord,""externalid"""
"salesord,""fax"""
"vendor,""links"""
"vendor,""altname"""
"vendor,""balance"""
"vendor,""balanceprimary"""
"vendor,""companyname"""
"vendor,""currency"""
"vendor,""custentity8"""
"vendor,""custentity_11724_pay_bank_fees"""
"vendor,""custentity_2663_payment_method"""
"vendor,""custentity_ar_acceso_informacion"""
"vendor,""custentity_ar_ana_cof_data"""
"vendor,""custentity_ar_cat"""
"vendor,""custentity_ar_contacto_carga_expo"""
"vendor,""custentity_ar_doc_legal"""
"vendor,""custentity_ar_prospecto_creado"""
"vendor,""custentity_ar_prov_entidad_exterior"""
"vendor,""custentity_ar_prov_entidad_nacional"""
"vendor,""custentity_ar_prov_estrategico"""
"vendor,""custentity_ar_prov_revisado_fin"""
"vendor,""custentity_ar_prov_revisado_imp"""
"vendor,""custentity_ar_proveedor_critico"""
"vendor,""custentity_ar_sobre_fecha_ven_comex"""
"vendor,""custentity_ar_suministro_seguridad"""
"vendor,""custentity_bit_aprobador_cte"""
"vendor,""custentity_bit_ecu_appliesdoubletaxpayme"""
"vendor,""custentity_bit_ecu_relatedparty"""
"vendor,""custentity_bit_estado_aprobacion_de_ct"""
"vendor,""custentity_bit_fecha_vencim_fecha_bl"""
"vendor,""custentity_bit_id_type_co"""
"vendor,""custentity_bit_lt_documentdigitverificat"""
"vendor,""custentity_bit_lt_ei_commercial_name"""
"vendor,""custentity_bit_lt_ei_company_name"""
"vendor,""custentity_bit_lt_entitydocument"""
"vendor,""custentity_bit_lt_md_entity_updated"""
"vendor,""custentity_bit_lt_md_exc_fatal_error"""
"vendor,""custentity_bit_pe_subject_wth"""
"vendor,""custentity_bit_proveedor_gastos_viaje"""
"vendor,""custentity_bit_revision_final"""
"vendor,""custentity_cmms_enabled"""
"vendor,""custentity_cmms_is_shared_access"""
"vendor,""custentity_cmms_is_technician"""
"vendor,""custentity_cmms_is_terminated"""
"vendor,""custentity_cmms_iscrewmanager"""
"vendor,""custentity_cmms_pb_allow_cross_subs_view"""
"vendor,""custentity_cmms_unavailable_4_autoassign"""
"vendor,""custentity_cmms_vendor_can_enter_time"""
"vendor,""custentityar_intermed_prov"""
"vendor,""custentityar_pais_cliente"""
"vendor,""custentitycustentity_ks_is_carrier"""
"vendor,""custentityks_monedas_nego"""
"vendor,""datecreated"""
"vendor,""defaultbillingaddress"""
"vendor,""defaultshippingaddress"""
"vendor,""duplicate"""
"vendor,""email"""
"vendor,""emailpreference"""
"vendor,""emailtransactions"""
"vendor,""entityid"""
"vendor,""entitytitle"""
"vendor,""faxtransactions"""
"vendor,""giveaccess"""
"vendor,""globalsubscriptionstatus"""
"vendor,""id"""
"vendor,""isautogeneratedrepresentingentity"""
"vendor,""isinactive"""
"vendor,""isjobresourcevend"""
"vendor,""isperson"""
"vendor,""lastmodifieddate"""
"vendor,""payablesaccount"""
"vendor,""phone"""
"vendor,""predconfidence"""
"vendor,""predicteddays"""
"vendor,""prepaymentbalance"""
"vendor,""printtransactions"""
"vendor,""subsidiaryedition"""
"vendor,""unbilledorders"""
"vendor,""unbilledordersprimary"""
"vendor,""unsubscribe"""
"vendor,""workcalendar"""
"vendor,""legalname"""
"vendor,""category"""
"vendor,""custentity_ar_contacto_principal"""
"vendor,""custentity_ar_lugar_incoterm"""
"vendor,""custentity_bit_departamento_proveedor"""
"vendor,""custentity_bit_lt_ei_first_name"""
"vendor,""custentity_bit_lt_ei_last_name"""
"vendor,""custentity_bit_lt_ei_other_name"""
"vendor,""custentity_bit_lt_ei_second_name"""
"vendor,""firstname"""
"vendor,""incoterm"""
"vendor,""lastname"""
"vendor,""middlename"""
"vendor,""terms"""
"vendor,""custentity_bit_origen"""
"vendor,""externalid"""
"vendor,""custentity_2663_email_address_notif"""
"vendor,""custentity_4601_defaultwitaxcode"""
"vendor,""salutation"""
"vendor,""contact"""
"vendor,""comments"""
"vendor,""custentity_bit_correo_notif_pago"""
"vendor,""custentity_bit_lt_ei_custom_phone_f"""
"vendor,""accountnumber"""
"vendor,""custentity_2663_eft_file_format"""
"vendor,""url"""
"vendor,""altemail"""
"vendor,""custentity_ar_acuerdo_seguridad"""
"vendor,""custentity_ar_certificado_ctpat"""
"vendor,""custentity_ar_certificado_iso"""
"vendor,""custentity_ar_certificado_oea"""
"vendor,""custentity_ar_fecha_renovacion"""
"vendor,""custentity_ar_fechavinculacion"""
"vendor,""custentity_ar_id"""
"vendor,""custentity_bit_lt_configuration_status"""
"vendor,""custentity_bit_lt_registration_date"""
"vendor,""custentityar_certificado_basc"""
"vendor,""custentity_9572_vendor_entitybank_format"""
"vendor,""custentity_9572_vendor_entitybank_sub"""
"vendor,""altphone"""
"vendor,""custentity_ks_digitoverificacion"""
"vendor,""custentity_ks_documento"""
"vendor,""custentity_ks_regimentributari"""
"vendor,""custentity_ks_tipo_doc_identidad"""
"vendor,""custentity_bit_ar_pais"""
"vendor,""custentity_bit_pe_identitydoctype"""
"vendor,""custentity_bit_pe_paydetractionacc"""
"vendor,""custentity_bit_pe_t25"""
"vendor,""custentity_bit_pe_tipovineconomica"""
"vendor,""entitynumber"""
"vendor,""custentity_bit_lt_ei_entity_ec_activity"""
"vendor,""is1099eligible"""
"vendorsubsidiaryrelationship,""links"""
"vendorsubsidiaryrelationship,""balance"""
"vendorsubsidiaryrelationship,""balancebase"""
"vendorsubsidiaryrelationship,""basecurrency"""
"vendorsubsidiaryrelationship,""entity"""
"vendorsubsidiaryrelationship,""id"""
"vendorsubsidiaryrelationship,""isprimarysub"""
"vendorsubsidiaryrelationship,""lastmodifieddate"""
"vendorsubsidiaryrelationship,""name"""
"vendorsubsidiaryrelationship,""prepaymentbalance"""
"vendorsubsidiaryrelationship,""prepaymentbalancebase"""
"vendorsubsidiaryrelationship,""primarycurrency"""
"vendorsubsidiaryrelationship,""subsidiary"""
"vendorsubsidiaryrelationship,""unbilledorders"""
"vendorsubsidiaryrelationship,""unbilledordersbase"""
